,LDA_Topic_0,LDA_Topic_1,LDA_Topic_2,LDA_Topic_3,LDA_Topic_4,LDA_Topic_5,LDA_Topic_6,LDA_Topic_7,LDA_Topic_8,LDA_Topic_9,LDA_Topic_10,LDA_Topic_11,LDA_Topic_12,LDA_Topic_13,LDA_Topic_14,LDA_Topic_15,LDA_Topic_16,LDA_Topic_17,LDA_Topic_18,LDA_Topic_19,LDA_Topic_20,LDA_Topic_21,LDA_Topic_22,LDA_Topic_23,LDA_Topic_24,LDA_Topic_25,LDA_Topic_26
프리토킹,6.11051e-06,2.6465768e-06,8.179075e-06,1.5398504e-05,1.8286366e-05,1.0476644e-05,7.085296e-06,4.582576e-06,5.9448507e-06,5.8859396e-06,7.832352e-06,1.1347884e-05,9.263671e-06,4.8869283e-06,7.641535e-06,1.15763005e-05,3.5890253e-06,3.9316838e-06,0.0026096269,1.0540962e-05,3.125366e-06,3.823361e-06,7.231818e-06,2.2032968e-05,5.308599e-06,0.00014773411,3.7877613e-05
학습법,4.0096907e-06,1.0775799e-05,1.1940941e-05,2.0164387e-05,1.8647563e-05,1.0938728e-05,6.82496e-06,4.6908995e-06,6.055359e-06,6.3375646e-06,1.27833255e-05,1.17951295e-05,9.0204485e-06,5.1788943e-06,7.634979e-06,9.119517e-06,0.00019938216,3.6048182e-06,0.00050241227,1.0619906e-05,3.2857924e-06,3.8080084e-06,7.983234e-06,1.1311506e-05,0.0006144417,0.00015120316,3.8800197e-05
현지시간,0.0013269483,2.0480094e-05,4.5192308e-05,0.00039610875,0.0010671557,1.611802e-05,6.5537865e-06,5.6306194e-06,7.621576e-06,1.5085637e-05,8.623082e-06,1.8362482e-05,1.0912234e-05,6.331586e-06,8.460295e-06,0.000562817,3.827415e-06,3.9379975e-06,0.00021966519,0.0007494465,6.5795407e-06,8.511934e-06,9.004527e-06,0.0014859246,6.9870493e-06,0.00015803463,4.062624e-05
호평,3.9090596e-06,3.030983e-06,6.3444513e-06,1.6416961e-05,1.8618188e-05,1.3447698e-05,0.0013174311,6.0009356e-06,6.144789e-06,6.623054e-06,8.721315e-06,9.004832e-05,9.525811e-06,6.5785384e-06,8.291043e-06,9.26564e-06,7.894004e-06,3.7554255e-06,6.561575e-06,1.0851104e-05,3.4752766e-06,5.039924e-06,7.0624105e-06,0.0015093655,5.0261815e-06,0.00017353165,3.8204438e-05
효과음,4.500702e-06,2.6755743e-06,6.3068396e-06,1.9326306e-05,1.8403272e-05,1.0489922e-05,6.0743755e-06,0.00011891053,6.042484e-06,5.9253584e-06,7.369306e-06,1.231331e-05,9.0554395e-06,4.8708434e-06,7.644102e-06,9.5611e-06,4.578363e-06,3.6142585e-06,0.0010555377,1.2201869e-05,3.2612313e-06,3.9119213e-06,7.3991296e-06,0.00087082695,4.6846017e-06,2.3529078e-06,3.8156675e-05
고급,0.00048184567,6.197023e-05,8.279064e-06,1.5948854e-05,0.0010392538,2.0788217e-05,7.634093e-06,6.5151253e-06,6.58844e-06,8.997481e-06,0.0006286034,1.167863e-05,1.0484409e-05,4.4509045e-05,0.00047236434,1.0285384e-05,3.8714106e-06,0.00041506285,8.2724555e-06,0.00067152403,5.6948493e-06,9.560082e-06,7.851308e-06,0.00012845361,0.0006564732,3.5315702e-06,3.9047154e-05
기계,0.0007852666,0.0017212915,8.404526e-06,8.2614606e-05,2.135964e-05,4.0297135e-05,0.00014229132,7.2492194e-06,1.1905057e-05,1.7045373e-05,0.0017794751,0.0002397681,0.00028705996,0.00019559149,8.176896e-06,0.00028806773,5.467444e-06,6.510483e-05,1.7598695e-05,1.20883815e-05,6.530579e-05,0.00056036527,9.2939445e-06,1.7427434e-05,0.0010985712,7.753279e-06,6.2959836e-05
대책,8.575772e-05,0.00015646072,6.834926e-06,6.9500784e-06,8.005676e-05,1.1327166e-05,6.3323255e-06,5.779914e-06,0.0007063576,9.343925e-06,0.0003142618,1.2025413e-05,1.1642604e-05,1.3833571e-05,8.209332e-06,0.00020677116,1.9296944e-05,0.00020222973,6.9956327e-06,0.000191672,3.9738334e-06,0.0008879371,1.0827077e-05,9.115842e-05,5.017044e-06,2.8240704e-06,0.0011135162
디지털화,4.040753e-06,3.1378622e-06,9.164513e-06,7.646903e-06,1.8602183e-05,1.3025585e-05,5.8162464e-06,6.624843e-06,0.0009852323,7.2239345e-06,0.0006854167,1.5178982e-05,1.111278e-05,0.00061519817,1.5553305e-05,1.1126055e-05,4.1493804e-06,7.756426e-06,7.1643217e-06,7.056225e-05,3.3220006e-06,0.00060955354,8.44793e-06,1.0768417e-05,0.00028187226,0.00012431423,3.9099275e-05
물론,4.434974e-06,0.00025589962,7.768368e-06,9.60898e-06,1.9128598e-05,1.1332033e-05,5.809345e-06,6.6811317e-06,6.1966725e-06,0.00013677096,0.00020368418,1.1673603e-05,9.527429e-06,2.2610602e-05,8.080288e-06,0.00065953424,3.8794165e-06,3.7850266e-05,6.241851e-06,1.0732888e-05,0.0001777301,0.00010658296,8.163297e-06,1.1256382e-05,5.0900812e-06,8.639108e-06,3.786404e-05
