,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
심리,0.404571,0.36375916,0.37906107,0.36380577,0.35112405,0.25150388,0.27944872,0.34802145,0.36112082,0.2993657,0.34818286,0.2783088,0.24953142,0.2787471,0.20022023,0.3324815,0.22115037
심사,0.41382307,0.41450545,0.36066154,0.37875825,0.33735248,0.2949835,0.3861256,0.3681868,0.38907143,0.31692266,0.34813863,0.33442405,0.31570506,0.27018824,0.23121238,0.36948127,0.2516282
심의,0.41129887,0.37947297,0.3327913,0.5308744,0.3533496,0.25744733,0.25426802,0.4427138,0.41941535,0.37433606,0.26221263,0.27343038,0.40210217,0.2838887,0.3857236,0.36729038,0.23369426
심층,0.38954914,0.39239612,0.3181396,0.39349863,0.33410084,0.30565685,0.3142534,0.40070614,0.38789934,0.33260423,0.29738468,0.28890094,0.31960446,0.31158373,0.27806592,0.34655982,0.22082353
심포지엄,0.45873648,0.4523065,0.3639537,0.5675446,0.37481436,0.2960858,0.32929444,0.4782338,0.48667496,0.48080406,0.29103088,0.36396885,0.43413773,0.337932,0.413548,0.4419576,0.2220411
심화,0.40267944,0.38338882,0.3282068,0.47305894,0.34599465,0.26858085,0.2756349,0.4138435,0.3995149,0.36194345,0.2789762,0.2865799,0.35916257,0.26926887,0.3228041,0.36128783,0.22770175
싱크탱크,0.30221924,0.3127597,0.2130124,0.39469075,0.2375648,0.28802127,0.29315567,0.34380382,0.30352384,0.30565876,0.20098576,0.26757854,0.32622015,0.21411556,0.26239693,0.28645894,0.19776735
싸움,0.18639196,0.20233805,0.14896822,0.20669979,0.16391101,0.1254724,0.079092465,0.1958464,0.1952889,0.12584034,0.15240389,0.07387254,0.13148342,0.12563863,0.09892288,0.23813532,0.12515527
쓸모,0.46548504,0.4818942,0.40217277,0.38671577,0.3920151,0.45796257,0.43414736,0.420879,0.36626732,0.32827714,0.4390751,0.31778824,0.42783573,0.3085981,0.2936989,0.3872183,0.3634537
아나운서,0.45611346,0.414873,0.3715235,0.6282104,0.3563171,0.29243743,0.28866267,0.49274808,0.4686004,0.412991,0.26455793,0.28696758,0.45346975,0.33156508,0.4586952,0.42203957,0.23894905
아내,0.19419126,0.19149202,0.16246837,0.22118658,0.16896112,0.10611666,0.056807972,0.18690445,0.18133137,0.16411704,0.16711327,0.15604143,0.15834633,0.13260262,0.1204156,0.14825636,0.08869213
아동,0.36616158,0.2253223,0.44540012,0.3395806,0.4448102,0.18320516,0.16092297,0.273207,0.2766148,0.22072005,0.4005935,0.2282782,0.19682911,0.29686165,0.2185167,0.30863428,0.34534794
아바타,0.39461678,0.39484906,0.31427643,0.43934396,0.31443834,0.29454622,0.3016042,0.39353234,0.39983073,0.38668406,0.2811132,0.31122226,0.3927505,0.27264214,0.3555239,0.36546528,0.24710783
아이,0.47819608,0.43124628,0.36975932,0.6563912,0.40709078,0.33792788,0.30422488,0.5085921,0.4998899,0.4390186,0.29903498,0.32748604,0.50215966,0.3674514,0.5121436,0.45574403,0.29607695
아이돌,0.43061227,0.39760956,0.35018724,0.51703024,0.3756444,0.31360218,0.30023962,0.45352995,0.42916203,0.33575767,0.30164474,0.3168553,0.40743923,0.2980039,0.36974332,0.3924194,0.2717607
아이들,0.47814208,0.38872427,0.4702834,0.49713263,0.4819792,0.28292608,0.26368213,0.42152387,0.4230581,0.373335,0.42801777,0.31621364,0.3423658,0.347862,0.328106,0.4316934,0.3316696
아이디어,0.42394948,0.42282623,0.40570027,0.37476504,0.42662156,0.3688937,0.26086164,0.36855084,0.36687884,0.3107603,0.39504218,0.3809053,0.26562464,0.32217908,0.21875621,0.3902419,0.27817947
아이스크림,0.11521957,0.1192382,0.07923081,0.15769818,0.12829916,0.083201006,0.04195615,0.094087765,0.093583934,0.1403778,0.09881869,0.15428561,0.07602669,0.083546214,0.090503916,0.09066415,0.07635364
아이템,0.39047566,0.3782376,0.3204575,0.40017462,0.39862585,0.3380825,0.29196942,0.3454743,0.33457106,0.2994863,0.3433208,0.29601276,0.27953094,0.26899505,0.19893792,0.36118558,0.2762499
아카데미,0.5984132,0.4972121,0.58206666,0.6063801,0.5081955,0.40086713,0.41358155,0.55375975,0.6444434,0.45158666,0.45739934,0.5006265,0.44035298,0.5596361,0.47335356,0.5519146,0.3835616
아트,0.33231205,0.29329348,0.30356127,0.29958987,0.3052464,0.2838036,0.21049958,0.31457722,0.25183028,0.23704082,0.31171495,0.28233904,0.23342936,0.2641201,0.1759695,0.30280358,0.3300312
아티스트,0.30400738,0.2617504,0.2575248,0.31639874,0.25715607,0.25681034,0.14809279,0.3546995,0.24515317,0.1889625,0.25499624,0.22336973,0.28752697,0.2107637,0.19620775,0.2747355,0.33481824
아티피셜,0.4653424,0.45053998,0.38605225,0.5391007,0.3912664,0.33538085,0.33911508,0.4713511,0.47136563,0.4062214,0.3271848,0.33422416,0.42948282,0.3247106,0.37301266,0.41408378,0.25485265
악용,0.38988727,0.37732375,0.33311743,0.42582875,0.305244,0.2646227,0.25613588,0.37989777,0.3404148,0.3124966,0.30471623,0.25219813,0.3350336,0.25190553,0.26933217,0.34689087,0.22460961
안내,0.48156708,0.45149752,0.38313967,0.6243186,0.4050346,0.35295314,0.31961983,0.50743186,0.49023044,0.43713048,0.31960464,0.34892592,0.49780667,0.3636452,0.4929515,0.4570275,0.29078436
안녕,0.41155744,0.3917151,0.3234282,0.4978115,0.39566165,0.2664864,0.24322408,0.43130052,0.42372745,0.37787557,0.27733773,0.33571422,0.39508393,0.3093631,0.40014958,0.39242154,0.24015579
안드로이드,0.33537865,0.30572838,0.24029805,0.37677875,0.3576663,0.33765978,0.20086688,0.3200867,0.253219,0.26624334,0.3073542,0.2619021,0.36073858,0.20664969,0.3570709,0.2853167,0.28610712
안보,0.42469817,0.42015237,0.33374876,0.49458516,0.36681005,0.2833689,0.28845096,0.42990607,0.40213168,0.3686699,0.29225117,0.30387014,0.36963978,0.28236014,0.31620884,0.3807373,0.23012239
안전,0.30901086,0.36319166,0.18350494,0.26498526,0.23653218,0.28422284,0.3322469,0.23638415,0.23447067,0.3005038,0.25735146,0.23867434,0.26904544,0.13671872,0.14856729,0.27095723,0.12727249
안전성,0.31598604,0.36331284,0.18940166,0.26775417,0.25216305,0.28292775,0.3412071,0.23946832,0.24128172,0.31132716,0.26613086,0.2546619,0.26976237,0.13946885,0.14855915,0.2803697,0.13953254
안정,0.27045554,0.28914264,0.1932795,0.29374927,0.21341497,0.19346564,0.25663438,0.21570148,0.26112294,0.29512966,0.16715579,0.16125332,0.22189686,0.11638304,0.17598568,0.21941516,0.08179563
안정성,0.29816133,0.33301976,0.20200631,0.28777254,0.23093286,0.25545776,0.350056,0.21442588,0.27201807,0.3130692,0.21382105,0.19576977,0.24079461,0.122765064,0.16568916,0.24470422,0.09452359
안정적,0.30555046,0.31186256,0.21838832,0.34783223,0.23243265,0.25079238,0.32140893,0.25108227,0.2990821,0.3270533,0.19096726,0.18617648,0.27986044,0.14585596,0.2291317,0.2449951,0.12162861
안착,0.40613434,0.3819201,0.31958103,0.52315015,0.35967708,0.2609907,0.24195759,0.42478013,0.41529614,0.37542582,0.25653395,0.28525367,0.39911786,0.27835727,0.39426243,0.37209308,0.22071856
알고리즘,0.3607242,0.35930014,0.28961247,0.27849072,0.26437303,0.48449105,0.3521427,0.34522647,0.27358925,0.16570707,0.41139415,0.2500273,0.34205604,0.24986607,0.22073716,0.3049192,0.3807931
알파벳,0.27604878,0.2502689,0.24616286,0.32050532,0.23574977,0.20795825,0.15189561,0.3305143,0.27880573,0.17791954,0.1842324,0.17261446,0.37269706,0.18018955,0.30204237,0.21414252,0.27967545
암기,0.34183747,0.3425267,0.2736402,0.36677027,0.29297015,0.29167536,0.24983436,0.3322972,0.31989378,0.26692876,0.27005285,0.23043066,0.29933745,0.21911588,0.18048787,0.3076045,0.21118385
애니메이션,0.4647091,0.4128703,0.36891478,0.5809972,0.42742926,0.3925234,0.29213047,0.4987295,0.43334383,0.3828938,0.3524577,0.33055198,0.45322174,0.33979705,0.44246596,0.44087642,0.35795748
애드테크,0.4967677,0.5047324,0.38589722,0.45380932,0.4034482,0.47213054,0.41696444,0.47134423,0.4608309,0.3835008,0.42392755,0.41290274,0.4454469,0.34812313,0.35244358,0.44149503,0.31870377
애플리케이션,0.44202924,0.4475814,0.34448168,0.36761427,0.4236603,0.532144,0.3202212,0.41131568,0.34333664,0.26724288,0.45938995,0.34995627,0.42280346,0.31770974,0.33747056,0.3810044,0.4070543
앵커,0.43117607,0.40899646,0.3431016,0.5064137,0.3760634,0.33260614,0.2744829,0.44626328,0.42665714,0.34859473,0.3146395,0.3348446,0.43172857,0.3098047,0.36917466,0.38564822,0.29548568
야기,0.4291797,0.4013855,0.34547502,0.5385599,0.38650638,0.2966712,0.2793508,0.45067507,0.43089396,0.3847071,0.296291,0.3103636,0.40667164,0.30637714,0.37459818,0.40518308,0.26406997
약속,0.45450366,0.43819368,0.35629407,0.5808878,0.3764928,0.31900692,0.29060292,0.47711352,0.48217732,0.41520637,0.28554857,0.31505734,0.46059048,0.32067287,0.4608808,0.42458707,0.2358846
약점,0.30239278,0.30462754,0.27218807,0.29202566,0.23711683,0.2377792,0.30126324,0.25900418,0.27969617,0.2613778,0.21760228,0.15159495,0.17526013,0.16662598,0.10410953,0.25585353,0.14259635
양상,0.4317161,0.41236448,0.34692907,0.49378836,0.3840503,0.32247332,0.28196192,0.44367892,0.43015403,0.35816202,0.31683952,0.3332504,0.3844819,0.30766144,0.32323557,0.39847416,0.26114702
양성,0.4170886,0.3994065,0.35450852,0.41541964,0.3399557,0.28808886,0.32015854,0.39447296,0.38747045,0.33944246,0.3233018,0.27897775,0.3284597,0.2481131,0.2588677,0.33842993,0.21614125
양식,0.39217126,0.37147573,0.33916163,0.4240686,0.3487537,0.2721534,0.2595698,0.39018667,0.37089384,0.32242703,0.30176306,0.2852183,0.32287884,0.26161242,0.26446947,0.34722772,0.23308891
양자,0.24411732,0.23571178,0.16885899,0.29173213,0.21639894,0.16665015,0.17465556,0.27828348,0.25339004,0.17921522,0.15057364,0.1739114,0.2156584,0.12428385,0.1821601,0.22450167,0.070221685
양질,0.2705987,0.24722517,0.20863354,0.30479378,0.2672071,0.20091122,0.26866934,0.26466578,0.28058487,0.23502135,0.18534592,0.22338259,0.22597654,0.15868399,0.19189012,0.2361912,0.16419981
얘기,0.5078159,0.49923047,0.4181031,0.57771266,0.4354356,0.34489593,0.31597573,0.53998905,0.49573356,0.4097054,0.36447006,0.36985236,0.49691293,0.38173985,0.45312485,0.4527573,0.3189444
어려움,0.3492244,0.36015648,0.3045308,0.32169253,0.3044802,0.28142616,0.2807845,0.32354188,0.3187434,0.272618,0.30352908,0.26653162,0.24155071,0.22905126,0.19619665,0.31612253,0.197858
어르신들,0.286834,0.28250086,0.23506132,0.31786007,0.24725582,0.13374957,0.120566875,0.28033054,0.30335897,0.2792232,0.1942502,0.22801325,0.2490974,0.2014312,0.22972545,0.27459294,0.096156776
어린,0.366112,0.2538252,0.38312215,0.39091456,0.41040832,0.23662063,0.2059471,0.31192553,0.32054266,0.22768314,0.36159468,0.21076177,0.22461194,0.26162165,0.25671104,0.3525455,0.3148436
어린이,0.38357663,0.2486538,0.4428848,0.37646377,0.4494509,0.20001099,0.17230096,0.30019775,0.30405447,0.24612862,0.40108603,0.24092726,0.2232438,0.29946902,0.23838457,0.32622534,0.3380661
어린이들,0.46522754,0.33311927,0.5006514,0.48079875,0.5066422,0.25107914,0.2301526,0.38500816,0.39369673,0.33204502,0.4416778,0.30617425,0.30917412,0.37091285,0.32421592,0.4157365,0.37049374
어시스턴트,0.48829412,0.4555943,0.40362293,0.62083244,0.42572147,0.33450836,0.33333826,0.49627915,0.5083629,0.45222035,0.32409564,0.38328373,0.4721831,0.36643308,0.47362465,0.46379662,0.27570206
어젠,0.5045626,0.45598555,0.39181876,0.708557,0.40900815,0.3418687,0.31016967,0.54225075,0.5386581,0.47391644,0.29807925,0.33425164,0.52572554,0.39177337,0.5469464,0.481911,0.29132807
어학,0.5239794,0.46579486,0.52642405,0.54929155,0.43653467,0.3598191,0.38108605,0.5754433,0.48755783,0.38752073,0.41511592,0.3482464,0.5466099,0.42973512,0.517215,0.431197,0.46412033
어휘,0.49984497,0.46686125,0.4362922,0.61162233,0.40298516,0.3538044,0.34813425,0.56959146,0.49270496,0.434915,0.34358105,0.31997555,0.58110905,0.38738707,0.5533654,0.44753698,0.40432513
어휘력,0.5165281,0.49268627,0.4632808,0.5422706,0.44283724,0.40783238,0.39552718,0.58271676,0.4762696,0.39407745,0.41893116,0.3578267,0.5777066,0.38961524,0.4873845,0.45174527,0.46727717
억양,0.4472307,0.42699867,0.3802402,0.48743337,0.39966223,0.3102764,0.30399862,0.4458568,0.43859062,0.39353585,0.33987874,0.3274818,0.40508023,0.31173396,0.35427797,0.39672095,0.2760569
언급,0.52763027,0.50913686,0.4136785,0.65492463,0.41914368,0.38516405,0.3752349,0.5542352,0.54058826,0.47250798,0.3534646,0.37992382,0.5290028,0.38979685,0.49570352,0.4995445,0.29263318
언론,0.40292174,0.475246,0.3089996,0.35164815,0.2985059,0.33914745,0.2911847,0.43310776,0.31152576,0.32818735,0.37576753,0.37526524,0.38075054,0.30328524,0.28952897,0.42576987,0.26867744
언론사,0.44610387,0.5120697,0.3491225,0.41533852,0.31974238,0.35544556,0.3275642,0.46748447,0.37998232,0.40104708,0.38157433,0.4010737,0.43514562,0.34214908,0.3311849,0.4489896,0.27621993
언어모델,0.5286498,0.4841804,0.5429944,0.49532446,0.45921716,0.47364587,0.39014494,0.58833194,0.43959454,0.3428855,0.50076306,0.3214503,0.6163409,0.44693607,0.55257833,0.40506458,0.5969039
언어장벽,0.41623354,0.39737672,0.43208465,0.4187641,0.3487398,0.3337405,0.28494182,0.4844243,0.34276837,0.2790776,0.38070452,0.22583252,0.51161706,0.3361122,0.45059285,0.3295097,0.4606212
언어학,0.47826654,0.4348076,0.47509837,0.5159136,0.38327038,0.33025402,0.33903527,0.54688346,0.43289953,0.3352111,0.38333857,0.28750354,0.55691653,0.370946,0.50003755,0.37791067,0.4465297
언팩,0.42762738,0.4025004,0.3421025,0.5186634,0.38980347,0.30528158,0.27474076,0.44824183,0.41903865,0.36863786,0.3082146,0.3163221,0.4084969,0.30759633,0.3665849,0.39392725,0.27592266
얼굴,0.24066767,0.21606304,0.16648528,0.30872434,0.22463265,0.15871125,0.077199355,0.2615599,0.22072545,0.19411996,0.19768475,0.15881509,0.20467767,0.16716473,0.18476519,0.20688882,0.199812
얼라이언스,0.42794627,0.38336957,0.34907514,0.55423164,0.39267474,0.2948202,0.26486623,0.44744325,0.43943644,0.36228147,0.2953918,0.3152375,0.42017493,0.3223288,0.41427764,0.3976519,0.27239364
얼마,0.2359318,0.23542872,0.16506436,0.2649517,0.22665974,0.23347038,0.25119206,0.2346091,0.23936075,0.14035895,0.15597637,0.1441454,0.20319912,0.098156676,0.19274259,0.19608478,0.12136249
업계,0.4067427,0.50409955,0.28434324,0.3416948,0.3075129,0.42611176,0.30648997,0.33987927,0.3874591,0.36378592,0.30896974,0.3575045,0.32298172,0.28270566,0.22512643,0.32817042,0.1696156
업그레이드,0.22739428,0.24950272,0.18146776,0.15765913,0.16108969,0.28952748,0.2661088,0.18671846,0.23013027,0.19086182,0.22266331,0.1730891,0.22363986,0.17769292,0.180835,0.17707938,0.17279261
업데이트,0.39585382,0.4144985,0.30605155,0.42659324,0.29746106,0.3165862,0.3332794,0.37005407,0.376436,0.38472903,0.30079556,0.3108468,0.39333826,0.29114693,0.35446012,0.35708195,0.22626813
업로드,0.39265442,0.4118922,0.30462828,0.35693133,0.3172377,0.364918,0.34135962,0.43227637,0.32803607,0.24985263,0.39930868,0.2691701,0.43603212,0.27187175,0.33537036,0.36817652,0.37448883
업무,0.33705425,0.36156482,0.28898698,0.2754235,0.23949695,0.278423,0.2496286,0.31326777,0.33605254,0.30574638,0.25733656,0.26607457,0.28932968,0.26922005,0.19765185,0.2525033,0.18822399
업무협약,0.44010237,0.51916885,0.3388429,0.40815377,0.34508225,0.36251995,0.3224494,0.40753877,0.45545292,0.42829704,0.34648365,0.43483698,0.41694847,0.35080272,0.26751864,0.39626008,0.20408672
업종,0.4252898,0.40929252,0.36844417,0.41458508,0.3800247,0.34796983,0.32262558,0.41183567,0.39207536,0.3161988,0.35867858,0.31959164,0.34651923,0.31248534,0.23893075,0.3733867,0.31364256
업체,0.50585175,0.5337889,0.38616768,0.52877665,0.42328036,0.42810458,0.37490976,0.47639602,0.48840335,0.44986993,0.38296515,0.41632235,0.44819295,0.36506277,0.35818672,0.4637177,0.26915967
업체들,0.5325936,0.5624697,0.389166,0.58340895,0.43144718,0.4795674,0.4074296,0.51293874,0.52206314,0.4732414,0.38676822,0.4146639,0.50529236,0.3889408,0.4058473,0.4806628,0.29849017
업퍼바운드,0.4385547,0.39934042,0.34336805,0.6018852,0.36954683,0.29165012,0.29465723,0.47589487,0.47586918,0.40169728,0.25611734,0.3117199,0.43552387,0.32330173,0.42041638,0.4159009,0.23480591
에너지,0.21999064,0.2081261,0.17045847,0.19855489,0.17506596,0.1943823,0.27609763,0.18091348,0.18894204,0.16347358,0.18107328,0.17024061,0.12462954,0.1281604,0.12350701,0.20817451,0.07651165
에듀,0.29495737,0.28103244,0.26484126,0.30081052,0.24913366,0.19245799,0.20315179,0.3135713,0.28902906,0.22899225,0.22775291,0.22579783,0.23417288,0.21314177,0.18701372,0.2531399,0.19414103
에듀테크,0.44474342,0.44415903,0.36299664,0.4250185,0.34029537,0.39190623,0.3567986,0.45033276,0.4094944,0.35258713,0.37073243,0.3459087,0.38956565,0.3243429,0.30694604,0.39073762,0.3018423
에세이,0.4654554,0.41812712,0.36700484,0.6139819,0.40999478,0.32972044,0.3017066,0.4978181,0.47471398,0.4076177,0.3054915,0.32457453,0.48670733,0.3497582,0.48514238,0.42993623,0.30476752
에이전트,0.4757225,0.49678367,0.3321843,0.5362408,0.39179125,0.40265852,0.26904464,0.4873869,0.48057634,0.39558756,0.3428502,0.3704788,0.5130465,0.34712207,0.41831523,0.43523043,0.2946447
엔지니어,0.4695496,0.44691104,0.37467596,0.46129882,0.31324208,0.42099914,0.35811695,0.49454412,0.49229062,0.34732312,0.33714604,0.37455016,0.44664887,0.37303168,0.3747226,0.3810335,0.30274415
엔진,0.11615661,0.14089212,0.044622317,0.13193552,0.09533502,0.15072763,0.13968019,0.13070056,0.10590747,0.043866042,0.076652184,0.14717916,0.105491325,0.023446318,0.04316235,0.14352998,0.073222324
엔터,0.46531698,0.42498296,0.36086652,0.60320437,0.40606028,0.35310817,0.31678247,0.49492884,0.47860342,0.40439582,0.30661443,0.33109224,0.48965085,0.3493616,0.47288325,0.42316976,0.3070037
엔터테인먼트,0.4816866,0.4508965,0.39055216,0.5327562,0.49750805,0.41003293,0.32929796,0.4669699,0.41977304,0.37695226,0.4011999,0.40261918,0.39100766,0.35779166,0.37324193,0.477552,0.33684283
엔터프라이즈,0.55879766,0.5472611,0.44447696,0.627529,0.46615827,0.46566826,0.43478018,0.55074495,0.5668878,0.49477404,0.4106716,0.4449788,0.53051937,0.42881182,0.5060871,0.5175943,0.32681686
엣지,0.46227336,0.41415185,0.36441886,0.612506,0.40758845,0.34127003,0.30326074,0.48957008,0.46807176,0.4086488,0.30962676,0.31981713,0.48714083,0.34510887,0.48722398,0.42921275,0.31273112
여건,0.46998665,0.42126244,0.37026393,0.6426101,0.40863347,0.3304357,0.2928933,0.509135,0.49071774,0.43175524,0.29273397,0.31213617,0.5183249,0.36102182,0.53463,0.42914182,0.308
여론,0.4563514,0.467379,0.3869008,0.4517907,0.3892653,0.28093094,0.31074816,0.42609504,0.43695298,0.38314864,0.34465688,0.34880996,0.35558623,0.29452437,0.296014,0.41215196,0.22077575
여름,0.24389842,0.21135211,0.22293319,0.2511854,0.33211163,0.16647857,0.18747422,0.18207943,0.22049913,0.17867306,0.24052851,0.3455376,0.15485673,0.18566152,0.21112323,0.3179689,0.18024361
여부,0.50133395,0.47416824,0.38719147,0.6479745,0.40732646,0.35297593,0.3358919,0.53168404,0.5214832,0.4578722,0.3214792,0.3399083,0.50891924,0.35574326,0.49916327,0.49304414,0.2795736
여성,0.23257175,0.23537725,0.1653831,0.24083158,0.20557179,0.15749973,0.11876678,0.2097356,0.21288177,0.2142637,0.20912522,0.19645971,0.18577045,0.15907033,0.15085089,0.24490462,0.12684917
여정,0.46142393,0.44850552,0.36888614,0.55854446,0.4397391,0.32822397,0.30216953,0.47008443,0.46749842,0.4163645,0.32729673,0.36618543,0.46493858,0.33753312,0.46630484,0.4402189,0.27745885
여지,0.46187183,0.4212491,0.36378324,0.612502,0.4108847,0.30658635,0.28131956,0.49713713,0.4787348,0.42010394,0.2926699,0.32329226,0.48209348,0.34906232,0.49472654,0.42777717,0.285982
여행,0.32248658,0.34820065,0.25332788,0.31336632,0.39073515,0.220141,0.21259943,0.29610395,0.30190736,0.28469592,0.2745561,0.34977815,0.28838998,0.2068727,0.28838378,0.31999308,0.17637816
역대,0.47623873,0.452274,0.38207442,0.585815,0.41131485,0.33427656,0.32449812,0.4893723,0.48162317,0.42738962,0.31958658,0.3509196,0.4482227,0.3407496,0.4298766,0.44704473,0.26614058
역량,0.39144516,0.40673757,0.31266376,0.4042186,0.32627076,0.31532517,0.36509258,0.36241335,0.3689159,0.33037347,0.30692583,0.30960768,0.30857885,0.24471551,0.25211066,0.35697865,0.18665111
역사,0.3046943,0.31473738,0.30884153,0.29407474,0.25319976,0.11256242,0.19904631,0.28282428,0.32067117,0.32942617,0.22004685,0.3415386,0.19788024,0.26031074,0.16996339,0.2918198,0.102328464
역사적,0.27824974,0.28629535,0.27939653,0.28378475,0.23410735,0.10234894,0.19374529,0.26028326,0.29556096,0.32107577,0.19441837,0.30865136,0.20429215,0.2319889,0.17670903,0.27304244,0.097093
역설,0.36252928,0.36783266,0.33275297,0.36562103,0.32867748,0.20012645,0.21486856,0.35714892,0.31308046,0.29878977,0.27705172,0.31554234,0.23725563,0.24495041,0.19835837,0.31070217,0.13079019
역임,0.48279965,0.46230263,0.3911843,0.5706245,0.41294867,0.35063523,0.33186096,0.4874854,0.48280284,0.42406273,0.3431244,0.35122976,0.4658568,0.34603992,0.42398244,0.4497372,0.29139334
역할,0.44117266,0.4494924,0.37352067,0.38548568,0.42437604,0.36737168,0.26014182,0.40497154,0.40683722,0.3357382,0.3911391,0.34251016,0.35843834,0.32511985,0.23517051,0.37839818,0.29454017
연간,0.37905765,0.384007,0.36312062,0.38330364,0.308152,0.21755363,0.28844994,0.3088403,0.3979561,0.39075354,0.30007818,0.33338106,0.24431098,0.26985845,0.21731961,0.37393343,0.17053713
연결,0.3154024,0.39010012,0.20139629,0.25914574,0.31989402,0.33588952,0.24704373,0.31165016,0.30840603,0.23860064,0.32507148,0.31053424,0.36383477,0.24487695,0.30245623,0.2651468,0.13923228
연계,0.45090783,0.4913224,0.3480411,0.40410936,0.42939377,0.39560723,0.34434134,0.41485947,0.43933472,0.3896839,0.42684,0.39949393,0.41237527,0.35347015,0.31256154,0.42486542,0.27467525
연계성,0.4519801,0.48045784,0.36352634,0.40018877,0.4426453,0.36291102,0.34101442,0.39053863,0.427981,0.3924771,0.42348528,0.37953383,0.38005698,0.33246318,0.27496907,0.39792615,0.24690205
연관,0.49087328,0.48491308,0.39547235,0.5492511,0.41892844,0.3520564,0.3490507,0.4874789,0.49315435,0.4435914,0.3640584,0.3709932,0.46100816,0.3493681,0.4071492,0.44711354,0.2747407
연관성,0.3648253,0.38936496,0.29474777,0.29867494,0.36090732,0.24248503,0.25413647,0.274943,0.3282959,0.31249774,0.37079856,0.28383252,0.27295548,0.25012696,0.2118493,0.28910008,0.17850593
연구개발,0.5795734,0.5844697,0.53349715,0.4320962,0.49231946,0.48189166,0.50963646,0.52498955,0.5284174,0.4376429,0.5541693,0.5004273,0.43576175,0.44444585,0.33029824,0.510859,0.41000444
연구소,0.41566887,0.4042473,0.35128844,0.3207607,0.2903518,0.35467094,0.38865912,0.41989267,0.4186294,0.32479647,0.33292133,0.33839417,0.33510116,0.3565965,0.21865112,0.33037356,0.25417182
연구자,0.4487881,0.43610764,0.4036939,0.31311837,0.3394349,0.30676988,0.40319908,0.4484092,0.44564146,0.3228,0.38455847,0.3736472,0.32813334,0.34043634,0.22935963,0.3587863,0.25652975
연구자들,0.41479605,0.40296572,0.38403055,0.26592952,0.3166201,0.2685979,0.40011272,0.40334347,0.40679765,0.28702754,0.36050814,0.34719756,0.28728172,0.3269065,0.20558059,0.35170814,0.23932472
연구진,0.5036519,0.5006545,0.44180787,0.3932278,0.40504223,0.3567161,0.42946857,0.4845779,0.4839993,0.37891138,0.43232712,0.42320085,0.3767769,0.37353152,0.27027765,0.43185008,0.2996975
연구팀,0.56237835,0.5633563,0.49097902,0.40248746,0.49633265,0.4235742,0.4689706,0.5128606,0.5285335,0.42996043,0.5209414,0.5007716,0.4221228,0.45222065,0.26818132,0.512031,0.39157563
연기,0.33980787,0.3383959,0.2702552,0.36256337,0.2858677,0.27271637,0.23902637,0.32958776,0.3036797,0.2707221,0.27424508,0.25898948,0.26973963,0.22424445,0.20019132,0.34075147,0.22461823
연내,0.44955778,0.43916732,0.39060587,0.54184884,0.34223494,0.27608383,0.33879292,0.424801,0.47933435,0.45837963,0.3030729,0.35499442,0.38465378,0.3291086,0.3700587,0.4449993,0.2179782
연동,0.3861109,0.383034,0.317432,0.41857934,0.32768255,0.2815085,0.32867777,0.38791478,0.3737599,0.33514526,0.2967978,0.3159248,0.33551067,0.26673034,0.30429208,0.37234503,0.21519722
연락,0.48038507,0.45736927,0.36855102,0.6129143,0.40303448,0.3413269,0.2756467,0.521335,0.49399868,0.41212285,0.32682228,0.34292668,0.52176106,0.3473791,0.51280034,0.46494186,0.28676164
연령,0.26359814,0.22047731,0.25276953,0.24861671,0.24562517,0.15207951,0.15554385,0.19029915,0.2719028,0.19865218,0.26827243,0.17985693,0.12697977,0.16921797,0.13689774,0.28406143,0.1323497
연말,0.3686178,0.37263945,0.33646756,0.43291804,0.28250855,0.19386613,0.26860988,0.33968455,0.40090182,0.39666283,0.24166799,0.3247153,0.2904138,0.27280745,0.25660667,0.3823995,0.16069393
연봉,0.25291216,0.23530236,0.22593662,0.26936686,0.20019308,0.18325536,0.16435608,0.25280014,0.22081178,0.19957757,0.20953158,0.15746549,0.18596861,0.16694924,0.10237566,0.2222756,0.1866346
연사,0.5093467,0.5112108,0.42838907,0.53241754,0.4279412,0.36909246,0.340599,0.5344821,0.49002308,0.41108847,0.3939772,0.40382907,0.50764805,0.38214397,0.4512903,0.46313247,0.34758222
연산,0.42263567,0.46043175,0.3470509,0.40461436,0.3274032,0.31133172,0.36084035,0.37217218,0.43105224,0.411832,0.33082068,0.3539082,0.31864658,0.29270852,0.23678216,0.38093838,0.18158028
연속,0.28292453,0.26234916,0.23757389,0.32806772,0.27842718,0.22870517,0.2645876,0.33268577,0.25929242,0.21107058,0.22343335,0.24472725,0.30314595,0.20687357,0.24759278,0.28170502,0.24901584
연수,0.37164748,0.3657628,0.3110224,0.42344636,0.30524594,0.2539134,0.30416298,0.37978622,0.3669504,0.32859534,0.2606511,0.28618792,0.31270236,0.24639392,0.2715658,0.33864343,0.19964421
연습,0.42095333,0.38296044,0.3990789,0.3814804,0.3959297,0.34984815,0.30013794,0.39188778,0.37579682,0.302652,0.38851184,0.31549388,0.3190719,0.34137505,0.2795164,0.40864816,0.34260973
