,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
내부,0.4909662,0.4630779,0.39288923,0.61523557,0.40049204,0.33392102,0.31874374,0.5155792,0.5021125,0.4371457,0.32211483,0.3548926,0.47786665,0.37116134,0.47027153,0.4640751,0.2683813
내부적,0.49993074,0.48385426,0.40850082,0.5315613,0.4263189,0.3913855,0.3556031,0.49004692,0.47231653,0.42541373,0.398,0.35306272,0.44854832,0.38150758,0.40014452,0.4322452,0.3065225
내비게이션,0.5096475,0.4721375,0.41575515,0.6207695,0.43530643,0.36814272,0.35752076,0.51836085,0.51090795,0.43455467,0.35338396,0.37360805,0.46403426,0.37061918,0.44132814,0.48115408,0.2953738
내신,0.384439,0.34365022,0.31005388,0.5184118,0.34687752,0.24877091,0.22178456,0.40114462,0.39254427,0.3386404,0.24996382,0.25023338,0.3782258,0.26792374,0.37210685,0.3547525,0.23558208
내실,0.449973,0.4141785,0.36047775,0.58140457,0.3840834,0.30518124,0.2814961,0.473185,0.45909053,0.39534688,0.29812047,0.28593928,0.44365132,0.31257582,0.4333815,0.4187657,0.26519063
내재,0.38578096,0.3832669,0.32254738,0.45356128,0.34719443,0.22427106,0.22299016,0.38828993,0.40409833,0.3661482,0.2560536,0.3205008,0.33576977,0.28219154,0.35881644,0.36005288,0.18380696
냉장고,0.2356395,0.25443244,0.18125696,0.261115,0.18529302,0.23577207,0.16384424,0.17559546,0.20860845,0.21996626,0.17732286,0.2518402,0.17346239,0.214712,0.1218829,0.16572559,0.083133034
네이티브,0.39700627,0.377127,0.33932954,0.41180325,0.35655323,0.28762278,0.28185013,0.39681035,0.36730054,0.30478925,0.31797844,0.28980458,0.34352282,0.25579107,0.28046268,0.34853256,0.25450665
네트워크,0.21364433,0.28159463,0.13703433,0.15037373,0.18640931,0.25951347,0.21858591,0.21658441,0.1852952,0.15523058,0.2513083,0.2266646,0.216911,0.17735612,0.17522906,0.18865676,0.08210402
네트워킹,0.4892695,0.46336758,0.3912853,0.60565877,0.42196196,0.3721533,0.35368413,0.50832635,0.49386877,0.44323045,0.3497852,0.36108512,0.47379458,0.35589406,0.43912488,0.4658311,0.3010124
노동,0.2095642,0.22906154,0.18377922,0.16801797,0.09627627,0.13751769,0.13719739,0.1889536,0.24639374,0.23481098,0.13260415,0.14750235,0.15944761,0.16660577,0.11842771,0.16913071,0.07932052
노동력,0.20547117,0.22925463,0.17557196,0.15620932,0.107430436,0.133073,0.13871543,0.17180175,0.25727555,0.23997712,0.13459875,0.14794174,0.14326589,0.14916879,0.1093267,0.18310063,0.07655221
노동자,0.22582382,0.24918064,0.147163,0.17723598,0.11156926,0.17778632,0.16689163,0.22158802,0.2734896,0.24856013,0.12523219,0.1731345,0.23194352,0.17433983,0.14476347,0.17297435,0.09426151
노동자들,0.1591695,0.18019587,0.10469751,0.11332336,0.058089085,0.08585939,0.111786984,0.15126444,0.22228715,0.21747357,0.065240264,0.11328853,0.16400772,0.124758884,0.11768478,0.12940112,0.046489142
노래,0.42189407,0.39219648,0.35556442,0.5064259,0.37126893,0.2867095,0.25905165,0.46754426,0.39960194,0.32233042,0.3047917,0.30286962,0.42062187,0.3068638,0.38343734,0.39843673,0.3235847
노력,0.3720724,0.37754357,0.31021538,0.3585381,0.3445576,0.31829178,0.30949956,0.35465413,0.3400452,0.2736649,0.327353,0.280308,0.29782534,0.24680352,0.2457282,0.36499006,0.24082494
노인,0.21926804,0.221299,0.17278014,0.22411074,0.17743734,0.099893995,0.0851921,0.20089571,0.23929043,0.22246161,0.16945621,0.20239615,0.16748154,0.14037104,0.14032744,0.212872,0.034760173
노출,0.19987932,0.21146289,0.13251686,0.20144655,0.1098254,0.15401843,0.18650788,0.1667642,0.11690138,0.18435755,0.1839613,0.11211454,0.17041293,0.11343832,0.11316188,0.16992578,0.11009875
노트,0.48903203,0.47737992,0.44047135,0.49051398,0.38760138,0.33270347,0.39140624,0.4757771,0.4617304,0.3960658,0.37644285,0.3639662,0.43284428,0.36686984,0.3438549,0.4122169,0.3067091
노트북,0.21974914,0.23167092,0.15167738,0.17720395,0.15770033,0.27722752,0.20575234,0.23348719,0.232126,0.06749321,0.18109456,0.16179705,0.2107381,0.21273604,0.16138475,0.19618338,0.12480578
노하우,0.46984285,0.46159637,0.4198054,0.43360198,0.40652394,0.39791605,0.37685913,0.44109935,0.4248925,0.33531678,0.41717333,0.36292815,0.35829335,0.36068058,0.26753765,0.41111493,0.31514505
녹음,0.23633024,0.2214171,0.1692671,0.22821519,0.1992127,0.25090584,0.20435783,0.39258322,0.1661931,0.099014305,0.23683201,0.18883209,0.3331047,0.14768909,0.2478435,0.26079214,0.34510642
논란,0.37051588,0.4072773,0.33024365,0.3559057,0.2857241,0.1981022,0.23518991,0.35629696,0.33209798,0.32107165,0.2841374,0.30057943,0.2697482,0.25674492,0.19814429,0.33926713,0.16526276
논리,0.4005403,0.3927368,0.36728185,0.399114,0.29094014,0.302904,0.31733203,0.39738417,0.34994382,0.30429232,0.3008728,0.28065163,0.36596185,0.25896576,0.29093543,0.28735757,0.21635242
논술,0.52053535,0.5035337,0.5034022,0.46450496,0.4404174,0.353118,0.3892558,0.49373466,0.47428328,0.37797824,0.45029902,0.4171152,0.3892871,0.3941347,0.3207761,0.44140035,0.3462621
논의,0.50823057,0.53321075,0.45117846,0.4743827,0.44566917,0.32262564,0.3102789,0.51198405,0.4679612,0.39168996,0.42900488,0.45193353,0.44195086,0.41987818,0.381853,0.46419746,0.3232001
